Id	Word	Meaning	Pronunciation	AudioUrl
100	confirm	xác nhận	/kənˈfɝːm/	
101	contact	liên lạc, liên hệ	/ˈkɑːn.tækt/	
102	deadline	hạn chót	/ˈded.laɪn/	
103	department	phòng ban	/dɪˈpɑːrt.mənt/	
104	document	tài liệu	/ˈdɑː.kjə.mənt/	
105	employer	người sử dụng lao động, chủ	/ɪmˈplɔɪ.ɚ/	
106	envelope	phong bì	/ˈen.və.loʊp/	
107	equipment	thiết bị	/ɪˈkwɪp.mənt/	
108	extension	số máy lẻ (điện thoại)	/ɪkˈsten.ʃən/	
109	file cabinet	tủ đựng hồ sơ	/ˈfaɪl ˌkæb.ə.nət/	
110	furniture	đồ nội thất	/ˈfɝː.nɪ.tʃɚ/	
111	headquarters	trụ sở chính	/ˈhedˌkwɔːr.t̬ɚz/	
112	interview	cuộc phỏng vấn	/ˈɪn.t̬ɚ.vjuː/	
113	keyboard	bàn phím	/ˈkiː.bɔːrd/	
114	laptop	máy tính xách tay	/ˈlæp.tɑːp/	
115	letterhead	giấy tiêu đề (có in sẵn tên, địa chỉ công ty)	/ˈlet̬.ɚ.hed/	
116	memo	thông báo nội bộ	/ˈmem.oʊ/	
117	monitor	màn hình máy tính	/ˈmɑː.nə.t̬ɚ/	
118	notebook	sổ tay	/ˈnoʊt.bʊk/	
119	office supplies	văn phòng phẩm	/ˈɑː.fɪs səˌplaɪz/	
120	organize	tổ chức, sắp xếp	/ˈɔːr.ɡən.aɪz/	
121	paper clip	kẹp giấy	/ˈpeɪ.pɚ ˌklɪp/	
122	personnel	nhân sự	/ˌpɝː.sənˈel/	
123	postpone	trì hoãn	/poʊstˈpoʊn/	
124	projector	máy chiếu	/prəˈdʒek.tɚ/	
125	schedule	lịch trình, kế hoạch	/ˈskedʒ.uːl/	
126	signature	chữ ký	/ˈsɪɡ.nə.tʃɚ/	
127	task	nhiệm vụ, công việc	/tæsk/	
128	administrator	người quản trị, quản lý viên	/ədˈmɪn.ə.streɪ.t̬ɚ/	
129	archive	lưu trữ (tài liệu)	/ˈɑːr.kaɪv/	
130	assign	phân công, giao nhiệm vụ	/əˈsaɪn/	
131	budget	ngân sách	/ˈbʌdʒ.ɪt/	
132	calculate	tính toán	/ˈkæl.kjə.leɪt/	
133	collaboration	sự hợp tác	/kəˌlæb.əˈreɪ.ʃən/	
134	communicate	giao tiếp, liên lạc	/kəˈmjuː.nə.keɪt/	
135	competent	có năng lực, thành thạo	/ˈkɑːm.pə.t̬ənt/	
136	compile	biên soạn, tập hợp (dữ liệu)	/kəmˈpaɪl/	
137	coordinate	điều phối	/koʊˈɔːr.dən.eɪt/	
138	delegate	ủy quyền, giao phó	/ˈdel.ə.ɡeɪt/	
139	directory	danh bạ, thư mục	/daɪˈrek.tɚ.i/	
140	distribute	phân phát, phân phối	/dɪˈstrɪb.juːt/	
141	draft	bản nháp	/dræft/	
142	duplicate	tạo bản sao, bản sao	/ˈduː.plə.keɪt/	
143	efficient	hiệu quả	/ɪˈfɪʃ.ənt/	
144	executive	người điều hành, quản lý cấp cao	/ɪɡˈzek.jə.t̬ɪv/	
145	feedback	phản hồi, góp ý	/ˈfiːd.bæk/	
146	forward	chuyển tiếp (email)	/ˈfɔːr.wɚd/	
147	implement	thực hiện, thi hành	/ˈɪm.plə.ment/	
148	inbox	hộp thư đến	/ˈɪn.bɑːks/	
149	inquiry	yêu cầu thông tin, câu hỏi	/ˈɪn.kwɚ.i/	
150	invoice	hóa đơn	/ˈɪn.vɔɪs/	
151	itinerary	lịch trình chuyến đi	/aɪˈtɪn.ə.rer.i/	
152	leave request	đơn xin nghỉ phép	/ˈliːv rɪˌkwest/	
153	mailroom	phòng văn thư	/ˈmeɪl.ruːm/	
154	manual	sách hướng dẫn	/ˈmæn.ju.əl/	
155	mention	đề cập đến	/ˈmen.ʃən/	
156	message	tin nhắn, thông điệp	/ˈmes.ɪdʒ/	
157	minutes	biên bản cuộc họp	/ˈmɪn.ɪts/	
158	network	mạng lưới (máy tính, quan hệ)	/ˈnet.wɝːk/	
159	notify	thông báo	/ˈnoʊ.t̬ə.faɪ/	
160	operate	vận hành (máy móc)	/ˈɑː.pə.reɪt/	
161	overtime	làm thêm giờ	/ˈoʊ.vɚ.taɪm/	
162	participant	người tham gia	/pɑːrˈtɪs.ə.pənt/	
163	permission	sự cho phép	/pɚˈmɪʃ.ən/	
164	policy	chính sách	/ˈpɑː.lə.si/	
165	presentation	bài thuyết trình	/ˌprez.ənˈteɪ.ʃən/	
166	procedure	quy trình, thủ tục	/prəˈsiː.dʒɚ/	
167	proposal	bản đề xuất	/prəˈpoʊ.zəl/	
168	receptionist	nhân viên lễ tân	/rɪˈsep.ʃən.ɪst/	
169	recommendation	sự giới thiệu, đề xuất	/ˌrek.ə.menˈdeɪ.ʃən/	
170	reminder	lời nhắc nhở	/rɪˈmaɪn.dɚ/	
171	request	yêu cầu	/rɪˈkwest/	
172	reschedule	đặt lại lịch	/ˌriːˈskedʒ.uːl/	
173	resume	sơ yếu lý lịch	/ˈrez.ə.meɪ/	
174	submit	nộp, đệ trình	/səbˈmɪt/	
175	supervisor	người giám sát	/ˈsuː.pɚ.vaɪ.zɚ/	
176	training session	buổi đào tạo	/ˈtreɪ.nɪŋ ˌseʃ.ən/	
177	attachment	tài liệu đính kèm	/əˈtætʃ.mənt/	
178	briefcase	cặp tài liệu	/ˈbriːf.keɪs/	
179	classify	phân loại	/ˈklæs.ə.faɪ/	
180	client	khách hàng	/ˈklaɪ.ənt/	
181	confidential	bảo mật, bí mật	/ˌkɑːn.fəˈden.ʃəl/	
182	consultant	nhà tư vấn, cố vấn	/kənˈsʌl.tənt/	
183	courier	người đưa thư, dịch vụ chuyển phát nhanh	/ˈkʊr.i.ɚ/	
184	data entry	việc nhập dữ liệu	/ˈdeɪ.t̬ə ˌen.tri/	
185	deadline extension	việc gia hạn hạn chót	/ˈded.laɪn ɪkˌsten.ʃən/	
186	delivery	việc giao hàng	/dɪˈlɪv.ɚ.i/	
187	desk drawer	ngăn kéo bàn	/ˈdesk ˌdrɔːr/	
188	dispatch	gửi đi (thư, hàng)	/dɪˈspætʃ/	
189	division	bộ phận, phòng ban	/dɪˈvɪʒ.ən/	
190	documentation	tài liệu (nói chung)	/ˌdɑː.kjə.menˈteɪ.ʃən/	
191	drafting	việc soạn thảo (văn bản)	/ˈdræf.tɪŋ/	
192	ergonomic	(thuộc) công thái học (thiết kế phù hợp)	/ˌɝː.ɡəˈnɑː.mɪk/	
193	evaluate	đánh giá	/ɪˈvæl.ju.eɪt/	
194	expense report	báo cáo chi phí	/ɪkˈspens rɪˌpɔːrt/	
195	filing system	hệ thống lưu trữ hồ sơ	/ˈfaɪ.lɪŋ ˌsɪs.təm/	
196	handout	tài liệu phát tay	/ˈhænd.aʊt/	
197	improvement	sự cải thiện, cải tiến	/ɪmˈpruːv.mənt/	
198	instruction	hướng dẫn, chỉ dẫn	/ɪnˈstrʌk.ʃən/	
199	intercom	hệ thống liên lạc nội bộ	/ˈɪn.t̬ɚ.kɑːm/	
200	inventory	hàng tồn kho, bản kiểm kê	/ˈɪn.vən.tɔːr.i/	
201	job description	bản mô tả công việc	/ˈdʒɑːb dɪˌskrɪp.ʃən/	
202	keyboard tray	khay để bàn phím (dưới bàn)	/ˈkiː.bɔːrd ˌtreɪ/	
203	layout	bố cục, sơ đồ bố trí	/ˈleɪ.aʊt/	
204	logistics	hậu cần	/ləˈdʒɪs.tɪks/	
205	mailbox	hộp thư	/ˈmeɪl.bɑːks/	
206	maintain	duy trì, bảo trì	/meɪnˈteɪn/	
207	multitask	làm nhiều việc cùng lúc	/ˈmʌl.ti.tæsk/	
208	negotiate	đàm phán, thương lượng	/nəˈɡoʊ.ʃi.eɪt/	
209	notice	thông báo, lưu ý	/ˈnoʊ.t̬ɪs/	
210	objective	mục tiêu	/əbˈdʒek.tɪv/	
211	outgoing mail	thư gửi đi	/ˌaʊt.ɡoʊ.ɪŋ ˈmeɪl/	
212	overhead projector	máy chiếu qua đầu (loại cũ)	/ˌoʊ.vɚ.hed prəˈdʒek.tɚ/	
213	participate	tham gia	/pɑːrˈtɪs.ə.peɪt/	
214	photocopy	bản sao chụp, sao chụp	/ˈfoʊ.t̬oʊˌkɑː.pi/	
215	planning	việc lập kế hoạch	/ˈplæn.ɪŋ/	
216	portfolio	danh mục (công việc, đầu tư)	/pɔːrtˈfoʊ.li.oʊ/	
217	prioritize	ưu tiên	/praɪˈɔːr.ə.taɪz/	
218	productivity	năng suất	/ˌproʊ.dʌkˈtɪv.ə.t̬i/	
219	purchase order	đơn đặt hàng	/ˈpɝː.tʃəs ˌɔːr.dɚ/	
220	qualification	bằng cấp, năng lực chuyên môn	/ˌkwɑː.lə.fəˈkeɪ.ʃən/	
221	receipt	biên lai, hóa đơn bán lẻ	/rɪˈsiːt/	
222	reference	tài liệu tham khảo, người giới thiệu	/ˈref.ɚ.əns/	
223	reimburse	hoàn trả (chi phí)	/ˌriː.ɪmˈbɝːs/	
224	resource	nguồn lực, tài nguyên	/ˈriː.sɔːrs/	
225	shredder	máy hủy tài liệu	/ˈʃred.ɚ/	
226	strategy	chiến lược	/ˈstræt̬.ə.dʒi/	
227	update	cập nhật; bản cập nhật	/ʌpˈdeɪt/	
228	verify	xác minh, kiểm tra lại	/ˈver.ə.faɪ/	
229	voicemail	thư thoại	/ˈvɔɪs.meɪl/	
230	workload	khối lượng công việc	/ˈwɝːk.loʊd/	
231	workstation	trạm làm việc	/ˈwɝːkˌsteɪ.ʃən/	
232	access	truy cập; sự truy cập	/ˈæk.ses/	
233	accountant	kế toán viên	/əˈkaʊn.t̬ənt/	
234	acquire	đạt được, giành được	/əˈkwaɪɚ/	
235	adjust	điều chỉnh	/əˈdʒʌst/	
236	allocate	phân bổ, cấp cho	/ˈæl.ə.keɪt/	
237	analyze	phân tích	/ˈæn.əl.aɪz/	
238	application	đơn xin (việc), ứng dụng	/ˌæp.ləˈkeɪ.ʃən/	
239	authorize	ủy quyền, cho phép	/ˈɑː.θɚ.aɪz/	
240	backup copy	bản sao dự phòng	/ˈbæk.ʌp ˌkɑː.pi/	
241	briefing	cuộc họp báo cáo ngắn	/ˈbriː.fɪŋ/	
242	capacity	sức chứa, công suất, năng lực	/kəˈpæs.ə.t̬i/	
243	clerical	(thuộc) văn thư, văn phòng	/ˈkler.ɪ.kəl/	
244	compensate	bồi thường, đền bù	/ˈkɑːm.pən.seɪt/	
245	component	thành phần, bộ phận cấu thành	/kəmˈpoʊ.nənt/	
246	comply	tuân thủ	/kəmˈplaɪ/	
247	consolidate	củng cố, hợp nhất	/kənˈsɑː.lə.deɪt/	
248	convey	truyền đạt (thông tin)	/kənˈveɪ/	
249	corporation	tập đoàn, công ty lớn	/ˌkɔːr.pəˈreɪ.ʃən/	
250	credential	chứng chỉ, bằng cấp, thông tin đăng nhập	/krɪˈden.ʃəl/	
251	curriculum vitae	sơ yếu lý lịch (CV)	/kəˌrɪk.jə.ləm ˈviː.taɪ/	
252	customer service	dịch vụ khách hàng	/ˌkʌs.tə.mɚ ˈsɝː.vɪs/	
253	deduction	sự khấu trừ	/dɪˈdʌk.ʃən/	
254	demonstrate	minh họa, chứng minh, trình bày	/ˈdem.ən.streɪt/	
255	detail	chi tiết	/ˈdiː.teɪl/	
256	eligible	đủ điều kiện, đủ tư cách	/ˈel.ə.dʒə.bəl/	
257	enclosed	được đính kèm	/ɪnˈkloʊzd/	
258	enforce	thi hành, bắt buộc tuân theo	/ɪnˈfɔːrs/	
259	entrepreneur	doanh nhân	/ˌɑːn.trə.prəˈnɝː/	
260	estimate	ước tính, bản ước tính	/ˈes.tə.meɪt/	
261	expertise	chuyên môn, sự thành thạo	/ˌek.spɝːˈtiːz/	
262	facilitate	tạo điều kiện thuận lợi	/fəˈsɪl.ə.teɪt/	
263	flexible	linh hoạt, linh động	/ˈflek.sə.bəl/	
264	guideline	nguyên tắc chỉ đạo, hướng dẫn	/ˈɡaɪd.laɪn/	
265	handle	xử lý, giải quyết	/ˈhæn.dəl/	
266	headset	tai nghe (có mic)	/ˈhed.set/	
267	incentive	sự khuyến khích, khích lệ	/ɪnˈsen.t̬ɪv/	
268	incoming	đến, tới (thư, cuộc gọi)	/ˈɪnˌkʌm.ɪŋ/	
269	initiate	khởi xướng, bắt đầu	/ɪˈnɪʃ.i.eɪt/	
270	installation	sự lắp đặt, cài đặt	/ˌɪn.stəˈleɪ.ʃən/	
271	internal	nội bộ	/ɪnˈtɝː.nəl/	
272	internship	kỳ thực tập	/ˈɪn.tɝːn.ʃɪp/	
273	keypad	bàn phím số (điện thoại, máy tính)	/ˈkiː.pæd/	
274	liaise	giữ liên lạc, làm trung gian liên lạc	/liˈeɪz/	
275	log off/out	đăng xuất	/ˌlɑːɡ ˈɒf / ˌlɑːɡ ˈaʊt/	
276	log on/in	đăng nhập	/ˌlɑːɡ ˈɑːn / ˌlɑːɡ ˈɪn/	
277	long-distance call	cuộc gọi đường dài	/ˌlɑːŋˌdɪs.təns ˈkɑːl/	
278	management	sự quản lý, ban quản lý	/ˈmæn.ədʒ.mənt/	
279	mandatory	bắt buộc	/ˈmæn.də.tɔːr.i/	
280	marketing department	phòng tiếp thị	/ˈmɑːr.kɪ.t̬ɪŋ dɪˌpɑːrt.mənt/	
281	modify	sửa đổi, thay đổi	/ˈmɑː.də.faɪ/	
282	negotiation	sự đàm phán, thương lượng	/nəˌɡoʊ.ʃiˈeɪ.ʃən/	
283	occupation	nghề nghiệp	/ˌɑː.kjəˈpeɪ.ʃən/	
284	official	chính thức; viên chức	/əˈfɪʃ.əl/	
285	orientation	buổi định hướng (cho nhân viên mới)	/ˌɔːr.i.enˈteɪ.ʃən/	
286	outline	đề cương, dàn ý; phác thảo	/ˈaʊt.laɪn/	
287	oversee	giám sát	/ˌoʊ.vɚˈsiː/	
288	payroll	bảng lương	/ˈpeɪ.roʊl/	
289	performance review	đánh giá hiệu suất công việc	/pɚˌfɔːr.məns rɪˈvjuː/	
290	personnel department	phòng nhân sự	/ˌpɝː.sənˈel dɪˌpɑːrt.mənt/	
291	photocopier room	phòng máy photocopy	/ˈfoʊ.t̬oʊˌkɑː.pi.ɚ ˌruːm/	
292	preliminary	sơ bộ, mở đầu	/prɪˈlɪm.ə.ner.i/	
293	priority	sự ưu tiên	/praɪˈɔːr.ə.t̬i/	
294	proficient	thành thạo	/prəˈfɪʃ.ənt/	
295	promote	thăng chức; quảng bá	/prəˈmoʊt/	
296	proofread	đọc và sửa lỗi (văn bản)	/ˈpruːf.riːd/	
297	public relations	quan hệ công chúng (PR)	/ˌpʌb.lɪk rɪˈleɪ.ʃənz/	
298	punctual	đúng giờ	/ˈpʌŋk.tʃu.əl/	
299	query	câu hỏi, truy vấn	/ˈkwɪr.i/	
300	quota	chỉ tiêu, hạn ngạch	/ˈkwoʊ.t̬ə/	
301	recruit	tuyển dụng	/rɪˈkruːt/	
302	redundant	dư thừa, bị sa thải do thừa người	/rɪˈdʌn.dənt/	
303	regarding	liên quan đến, về việc	/rɪˈɡɑːr.dɪŋ/	
304	register	đăng ký	/ˈredʒ.ə.stɚ/	
305	reimbursement	sự hoàn trả, khoản hoàn trả	/ˌriː.ɪmˈbɝːs.mənt/	
306	reject	từ chối, bác bỏ	/rɪˈdʒekt/	
307	reliable	đáng tin cậy	/rɪˈlaɪ.ə.bəl/	
308	relocate	di dời (văn phòng, địa điểm)	/ˌriːˈloʊ.keɪt/	
309	representative	người đại diện	/ˌrep.rɪˈzen.t̬ə.t̬ɪv/	
310	requirement	yêu cầu, điều kiện cần thiết	/rɪˈkwaɪr.mənt/	
311	resign	từ chức	/rɪˈzaɪn/	
312	resolve	giải quyết (vấn đề)	/rɪˈzɑːlv/	
313	responsibility	trách nhiệm	/rɪˌspɑːn.səˈbɪl.ə.t̬i/	
314	revise	xem lại, sửa đổi (văn bản)	/rɪˈvaɪz/	
315	routine	thói quen, công việc thường lệ	/ruːˈtiːn/	
316	salary	lương (thường trả hàng tháng)	/ˈsæl.ɚ.i/	
317	scan	quét (tài liệu)	/skæn/	
318	seminar	hội thảo chuyên đề	/ˈsem.ə.nɑːr/	
319	shift	ca làm việc	/ʃɪft/	
320	skill	kỹ năng	/skɪl/	
321	spreadsheet	bảng tính (excel)	/ˈspred.ʃiːt/	
322	stationery	văn phòng phẩm (nói chung)	/ˈsteɪ.ʃə.ner.i/	
323	status report	báo cáo tình hình	/ˈstæt̬.əs rɪˌpɔːrt/	
324	storage	lưu trữ, kho chứa	/ˈstɔːr.ɪdʒ/	
325	summary	bản tóm tắt	/ˈsʌm.ɚ.i/	
326	supply cabinet	tủ đựng đồ dùng văn phòng	/səˈplaɪ ˌkæb.ə.nət/	
327	survey	cuộc khảo sát; khảo sát	/ˈsɝː.veɪ/	
328	switchboard operator	nhân viên tổng đài	/ˈswɪtʃ.bɔːrd ˌɑː.pə.reɪ.t̬ɚ/	
329	system administrator	quản trị viên hệ thống	/ˈsɪs.təm ədˌmɪn.ə.streɪ.t̬ɚ/	
330	tackle	giải quyết, xử lý (vấn đề khó)	/ˈtæk.əl/	
331	take notes	ghi chú	/ˌteɪk ˈnoʊts/	
332	target	mục tiêu	/ˈtɑːr.ɡɪt/	
333	teamwork	làm việc nhóm	/ˈtiːm.wɝːk/	
334	temporary	tạm thời	/ˈtem.pə.rer.i/	
335	time management	quản lý thời gian	/ˈtaɪm ˌmæn.ədʒ.mənt/	
336	transfer	chuyển (công tác, dữ liệu); sự chuyển giao	/trænsˈfɝː/	
337	typewriter	máy đánh chữ	/ˈtaɪpˌraɪ.t̬ɚ/	
338	urgent	khẩn cấp, cấp bách	/ˈɝː.dʒənt/	
339	vacancy	vị trí trống (cần tuyển)	/ˈveɪ.kən.si/	
340	valid	có hiệu lực, hợp lệ	/ˈvæl.ɪd/	
341	venue	địa điểm (tổ chức sự kiện)	/ˈven.juː/	
342	visual aids	dụng cụ trực quan (trong thuyết trình)	/ˌvɪʒ.u.əl ˈeɪdz/	
343	whiteboard	bảng trắng	/ˈwaɪt.bɔːrd/	
344	workshop	hội thảo thực hành	/ˈwɝːk.ʃɑːp/	
345	workflow	quy trình làm việc	/ˈwɝːk.floʊ/	
346	absent	vắng mặt	/ˈæb.sənt/	
347	accompany	đi cùng, kèm theo	/əˈkʌm.pə.ni/	
348	accumulate	tích lũy	/əˈkjuː.mjə.leɪt/	
349	acknowledge	thừa nhận, báo đã nhận	/əkˈnɑː.lɪdʒ/	
350	adapt	thích nghi, điều chỉnh cho phù hợp	/əˈdæpt/	
351	address	giải quyết (vấn đề); địa chỉ; bài phát biểu	/ˈæd.res/	
352	adjourn	hoãn lại, tạm dừng (cuộc họp)	/əˈdʒɝːn/	
353	administer	quản lý, điều hành	/ədˈmɪn.ə.stɚ/	
354	advise	khuyên bảo, tư vấn	/ədˈvaɪz/	
355	affix	đóng dấu, dán vào	/əˈfɪks/	
356	amend	sửa đổi, cải thiện (văn bản, luật)	/əˈmend/	
357	anticipate	dự đoán, lường trước	/ænˈtɪs.ə.peɪt/	
358	applicant	người nộp đơn (xin việc)	/ˈæp.lɪ.kənt/	
359	appraisal	sự đánh giá (thường là nhân viên)	/əˈpreɪ.zəl/	
360	assemble	tập hợp, lắp ráp	/əˈsem.bəl/	
361	assess	đánh giá	/əˈses/	
362	assignment	nhiệm vụ được giao	/əˈsaɪn.mənt/	
363	assume	đảm nhận (trách nhiệm); cho rằng	/əˈsuːm/	
364	attendee	người tham dự	/ə.tenˈdiː/	
365	benchmark	điểm chuẩn, tiêu chuẩn so sánh	/ˈbentʃ.mɑːrk/	
366	binder	bìa còng (để kẹp tài liệu)	/ˈbaɪn.dɚ/	
367	board meeting	cuộc họp hội đồng quản trị	/ˈbɔːrd ˌmiː.t̬ɪŋ/	
368	bonus	tiền thưởng	/ˈboʊ.nəs/	
369	brainstorm	động não, suy nghĩ ý tưởng	/ˈbreɪn.stɔːrm/	
370	brochure	tờ rơi quảng cáo (gấp)	/broʊˈʃʊr/	
371	bulletin	bản tin thông báo	/ˈbʊl.ə.t̬ɪn/	
372	business card	danh thiếp	/ˈbɪz.nɪs ˌkɑːrd/	
373	carbon copy (cc)	gửi bản sao (email)	/ˌkɑːr.bən ˈkɑː.pi/	
374	career path	con đường sự nghiệp	/kəˈrɪr ˌpæθ/	
375	clarify	làm rõ	/ˈkler.ə.faɪ/	
376	clerk	nhân viên bán hàng, thư ký văn phòng	/klɝːk/	
377	commute	đi lại (giữa nhà và nơi làm việc)	/kəˈmjuːt/	
378	compatible	tương thích	/kəmˈpæt̬.ə.bəl/	
379	competitor	đối thủ cạnh tranh	/kəmˈpet̬.ə.t̬ɚ/	
380	complaint	lời phàn nàn	/kəmˈpleɪnt/	
381	complete	hoàn thành	/kəmˈpliːt/	
382	computer literate	thành thạo máy tính	/kəmˌpjuː.t̬ɚ ˈlɪt̬.ɚ.ət/	
383	conduct	tiến hành (khảo sát, nghiên cứu)	/kənˈdʌkt/	
384	conference call	cuộc gọi hội nghị	/ˈkɑːn.fɚ.əns ˌkɑːl/	
385	consensus	sự đồng thuận	/kənˈsen.səs/	
386	consider	cân nhắc, xem xét	/kənˈsɪd.ɚ/	
387	consult	tham khảo ý kiến, hỏi ý kiến	/kənˈsʌlt/	
388	convenient	tiện lợi, thuận tiện	/kənˈviːn.jənt/	
389	corporate culture	văn hóa doanh nghiệp	/ˌkɔːr.pɚ.ət ˈkʌl.tʃɚ/	
390	cost-effective	hiệu quả về chi phí	/ˌkɑːst.ɪˈfek.tɪv/	
391	counterpart	người đồng cấp, đối tác tương ứng	/ˈkaʊn.t̬ɚ.pɑːrt/	
392	criterion	tiêu chí (số ít của criteria)	/kraɪˈtɪr.i.ən/	
393	crucial	quan trọng, cốt yếu	/ˈkruː.ʃəl/	
394	cubicle wall	tường vách ngăn	/ˈkjuː.bɪ.kəl ˌwɑːl/	
395	database	cơ sở dữ liệu	/ˈdeɪ.t̬ə.beɪs/	
396	day off	ngày nghỉ	/ˈdeɪ ˌɑːf/	
397	dedicate	cống hiến, dành cho	/ˈded.ə.keɪt/	
398	delay	trì hoãn; sự trì hoãn	/dɪˈleɪ/	
399	demonstration	sự trình bày, minh họa	/ˌdem.ənˈstreɪ.ʃən/	
400	designate	chỉ định, bổ nhiệm	/ˈdez.ɪɡ.neɪt/	
401	desk lamp	đèn bàn	/ˈdesk ˌlæmp/	
402	determine	xác định, quyết định	/dɪˈtɝː.mɪn/	
403	digital camera	máy ảnh kỹ thuật số	/ˌdɪdʒ.ə.t̬əl ˈkæm.rə/	
404	diligent	siêng năng, cần cù	/ˈdɪl.ə.dʒənt/	
405	discrepancy	sự khác biệt, không nhất quán	/dɪˈskrep.ən.si/	
406	dismiss	sa thải; giải tán (cuộc họp)	/dɪˈsmɪs/	
407	dispute	tranh chấp; cuộc tranh chấp	/dɪˈspjuːt/	
408	diverse	đa dạng	/dɪˈvɝːs/	
409	document shredder	máy hủy tài liệu	/ˈdɑː.kjə.mənt ˌʃred.ɚ/	
410	downsize	cắt giảm nhân sự/quy mô	/ˈdaʊn.saɪz/	
411	effective	có hiệu lực, hiệu quả	/ɪˈfek.tɪv/	
412	elaborate	giải thích chi tiết, tỉ mỉ	/iˈlæb.ə.reɪt/	
413	eliminate	loại bỏ	/iˈlɪm.ə.neɪt/	
414	endorse	chứng thực, ủng hộ công khai	/ɪnˈdɔːrs/	
415	enhance	nâng cao, cải thiện	/ɪnˈhæns/	
416	enroll	ghi danh, đăng ký (khóa học)	/ɪnˈroʊl/	
417	ensure	đảm bảo	/ɪnˈʃʊr/	
418	enterprise	doanh nghiệp, công ty	/ˈen.t̬ɚ.praɪz/	
419	establish	thành lập, thiết lập	/ɪˈstæb.lɪʃ/	
420	exceed	vượt quá	/ɪkˈsiːd/	
421	execute	thực thi, thi hành	/ˈek.sə.kjuːt/	
422	expedite	xúc tiến, làm nhanh hơn	/ˈek.spə.daɪt/	
423	facility	cơ sở vật chất, tiện nghi	/fəˈsɪl.ə.t̬i/	
424	familiarize	làm quen với	/fəˈmɪl.i.ə.raɪz/	
425	finalize	hoàn tất, chốt lại	/ˈfaɪ.nəl.aɪz/	
426	fiscal year	năm tài chính	/ˌfɪs.kəl ˈjɪr/	
427	flexible hours	giờ làm việc linh hoạt	/ˌflek.sə.bəl ˈaʊrz/	
428	follow up	theo dõi, tiếp nối (hành động)	/ˈfɑː.loʊ ʌp/	
